InventoryID,ProductID,WarehouseID,CurrentStock,ReservedStock,ReorderLevel,LastRestockDate,InventoryStatus
1,1,2,210,14,20,2/24/2026,In Stock
2,2,8,47,12,10,2/9/2025,In Stock
3,3,8,432,23,10,3/5/2024,In Stock
4,4,1,61,48,20,11/3/2025,In Stock
5,5,1,434,1,30,7/17/2024,In Stock
6,6,10,8,6,50,11/1/2025,Low Stock
7,7,2,21,5,50,1/26/2025,Low Stock
8,8,8,299,23,10,4/4/2026,In Stock
9,9,9,348,46,10,8/5/2025,In Stock
10,10,9,211,34,10,4/11/2024,In Stock
11,11,10,445,2,10,4/30/2024,In Stock
12,12,3,88,0,50,9/30/2024,In Stock
13,13,2,273,24,20,5/22/2024,In Stock
14,14,7,237,49,50,6/5/2025,In Stock
15,15,8,191,19,10,5/26/2026,In Stock
16,16,2,315,3,30,8/15/2025,In Stock
17,17,1,384,50,50,6/12/2024,In Stock
18,18,5,196,34,30,8/23/2025,In Stock
19,19,4,358,25,20,12/6/2025,In Stock
20,20,2,296,33,30,11/25/2024,In Stock
21,21,6,258,21,20,11/17/2025,In Stock
22,22,5,416,18,10,1/15/2026,In Stock
23,23,3,330,44,20,6/14/2026,In Stock
24,24,5,183,37,30,3/18/2024,In Stock
25,25,4,87,1,50,8/19/2024,In Stock
26,26,4,459,14,20,7/20/2025,In Stock
27,27,4,374,18,50,3/1/2026,In Stock
28,28,7,102,2,20,2/9/2026,In Stock
29,29,9,256,12,10,9/3/2024,In Stock
30,30,8,369,13,30,10/2/2024,In Stock
31,31,8,120,33,50,3/9/2025,In Stock
32,32,6,274,15,20,1/30/2026,In Stock
33,33,2,316,26,20,3/15/2024,In Stock
34,34,7,335,42,50,4/20/2026,In Stock
35,35,5,418,37,20,8/4/2025,In Stock
36,36,6,428,31,30,4/3/2026,In Stock
37,37,7,453,50,50,8/3/2025,In Stock
38,38,5,2,2,10,2/2/2024,Low Stock
39,39,8,475,42,30,12/12/2024,In Stock
40,40,9,99,39,30,1/8/2024,In Stock
41,41,1,307,5,10,1/16/2025,In Stock
42,42,7,289,4,20,5/14/2024,In Stock
43,43,5,321,6,30,2/27/2026,In Stock
44,44,10,33,0,10,3/22/2026,In Stock
45,45,10,132,41,30,2/12/2024,In Stock
