ProductID,ProductCode,ProductName,CategoryID,BrandID,SupplierID,CostPrice,SellingPrice,StockQuantity,ReorderLevel,Weight,Color,WarrantyMonths,LaunchDate,ProductStatus
1,PRD000001,Classic Monitor 1,16,85,36,12605.34,16918.65,85,10,10.23,Green,36,2/11/2024,Active
2,PRD000002,Max Mixer 2,9,21,114,606.09,865.48,403,50,21.02,Gray,36,5/14/2022,Active
3,PRD000003,Elite T-Shirt 3,9,43,207,2552.84,3519.42,238,20,2.97,Black,24,6/15/2021,Active
4,PRD000004,Eco Laptop 4,8,4,158,19971.89,23125.01,50,20,13.98,Red,24,3/19/2025,Active
5,PRD000005,Compact Mouse 5,25,12,57,13409.83,18406.52,304,50,24.54,Green,6,10/16/2022,Active
6,PRD000006,Pro Mouse 6,6,65,266,24405.48,38862.59,28,30,0.23,White,24,9/10/2025,Active
7,PRD000007,Premium Vacuum 7,25,98,145,17168.04,20632.59,174,10,19.25,Silver,6,9/12/2023,Active
8,PRD000008,Premium Watch 8,7,25,67,11791.81,17316.55,260,10,18.69,White,24,11/17/2025,Active
9,PRD000009,Mini Bag 9,18,94,150,41301.03,48817.43,463,50,11.89,Red,12,12/12/2023,Active
10,PRD000010,Premium Laptop 10,23,40,294,15787.93,23383.51,47,20,9.88,Silver,24,9/4/2022,Active
11,PRD000011,Eco Speaker 11,18,98,262,38664.58,59865.8,352,20,5.89,Silver,24,11/8/2021,Active
12,PRD000012,Portable Fan 12,5,21,227,34002.15,40561.5,196,30,6.05,White,6,7/19/2023,Active
13,PRD000013,Eco Mixer 13,16,25,185,4467.01,6125.4,69,20,17.58,Red,24,2/20/2024,Active
14,PRD000014,Smart Chair 14,20,75,50,31863.13,39165.8,70,20,1.21,Gray,6,7/28/2022,Active
15,PRD000015,Pro Mouse 15,20,52,133,27008.62,36014.76,425,50,24.48,Silver,24,3/25/2021,Active
16,PRD000016,Portable Mouse 16,18,41,283,10902.97,12892.61,400,20,3.58,Blue,36,11/20/2024,Active
17,PRD000017,Max Speaker 17,6,10,218,6662.28,8420.46,25,20,2.6,Silver,36,6/23/2021,Active
18,PRD000018,Pro Bottle 18,11,93,225,44042.84,54005.81,199,50,2.54,Black,6,1/11/2024,Active
19,PRD000019,Max Sofa 19,8,100,190,7736.02,11173.38,379,50,11.46,Black,24,9/22/2022,Active
20,PRD000020,Portable Desk 20,5,60,151,45076.09,71295.91,486,20,4.79,Silver,6,8/28/2023,Active
21,PRD000021,Digital Jeans 21,6,28,253,45790.68,64885.39,226,20,16.37,Silver,24,7/25/2023,Active
22,PRD000022,Pro Monitor 22,23,7,46,27701.13,35117.25,127,50,13.05,Silver,6,7/8/2026,Active
23,PRD000023,Wireless Fan 23,18,42,143,26098.97,40686,321,30,18.17,Red,24,1/18/2024,Active
24,PRD000024,Smart Mixer 24,8,89,77,16071.23,19418.52,272,10,7.55,Blue,12,7/27/2026,Active
25,PRD000025,Luxury Helmet 25,25,61,104,35282.92,54886.9,167,20,8.22,Gray,6,8/22/2026,Active
26,PRD000026,Smart Shoes 26,12,21,155,7103.3,8468.68,398,50,17.75,Black,24,12/7/2024,Active
27,PRD000027,Advanced Camera 27,8,28,273,30697.29,38071.54,247,50,18.07,Gray,6,1/24/2025,Active
28,PRD000028,Eco Router 28,13,35,41,10237.79,13758.8,421,50,8.38,Silver,36,1/13/2023,Active
29,PRD000029,Advanced Desk 29,11,63,133,14704.2,23507.39,360,20,8.04,Black,6,4/9/2021,Active
30,PRD000030,Pro Backpack 30,12,2,203,41521.6,58219.56,363,20,14.66,Red,36,3/26/2022,Active
31,PRD000031,Eco Headphones 31,21,87,32,14618.68,22729.03,170,10,2.22,Gray,6,5/5/2021,Active
32,PRD000032,Compact Speaker 32,25,95,296,43558.51,60116,427,30,24.38,White,6,11/13/2022,Active
33,PRD000033,Classic Desk 33,23,35,10,27012.34,40112.97,426,30,5.06,Blue,36,8/27/2021,Active
34,PRD000034,Smart Backpack 34,23,51,73,19410.43,22651.63,187,50,23.14,Red,12,8/12/2023,Active
35,PRD000035,Eco Blender 35,4,55,10,16991.34,25536.72,265,50,24.69,Red,36,2/26/2025,Active
36,PRD000036,Compact Printer 36,21,39,105,49345.81,65876.51,226,20,4.94,Green,12,3/2/2025,Active
37,PRD000037,Classic Backpack 37,7,30,91,42210.01,48881.7,33,20,9.72,Red,12,8/9/2022,Active
38,PRD000038,Portable Desk 38,21,33,142,36105.01,41725.73,350,50,21.75,Red,6,4/13/2025,Active
39,PRD000039,Luxury Speaker 39,19,91,266,16761.21,26487.22,466,30,16.75,Red,24,12/26/2025,Active
40,PRD000040,Mini Blender 40,12,79,2,9726.03,12840.98,325,20,23.01,Gray,6,4/25/2025,Active
41,PRD000041,Compact Speaker 41,20,36,56,978.88,1384.87,28,10,9.61,Black,6,9/17/2021,Active
42,PRD000042,Classic Book 42,15,65,293,36369.71,44390.77,389,50,7.21,Red,36,11/1/2024,Active
43,PRD000043,Compact Shoes 43,20,99,294,13570.28,16996.57,207,20,3.88,White,12,4/2/2022,Active
44,PRD000044,Compact Keyboard 44,17,45,174,43395.38,62163.13,76,20,17.78,Gray,36,4/10/2026,Active
45,PRD000045,Max Blender 45,21,35,265,2797.33,3989.2,274,20,2.79,Red,24,11/18/2023,Active
46,PRD000046,Essential Tablet 46,8,92,136,45904,66051.56,70,20,21.92,Black,6,1/9/2021,Active
47,PRD000047,Pro Headphones 47,5,60,9,39354.71,52843.52,319,30,0.26,Blue,36,1/20/2022,Active
48,PRD000048,Elite Camera 48,12,86,240,38485.87,58456.92,496,50,21.85,Gray,36,7/25/2021,Active
49,PRD000049,Wireless Bottle 49,6,33,210,13388.23,15715.92,287,30,21.77,Silver,6,4/11/2026,Active
50,PRD000050,Wireless Printer 50,16,74,250,9705.64,13158.67,161,30,21.21,Green,6,3/20/2023,Active
51,PRD000051,Compact Toy 51,23,97,147,39984.43,52646.89,263,20,13.44,Silver,12,7/10/2021,Active
52,PRD000052,Digital Jeans 52,4,57,229,16192.08,24439.04,356,10,6.02,Silver,24,9/3/2022,Active
53,PRD000053,Pro Router 53,10,76,194,22315.76,34392.3,340,30,5.76,Blue,12,11/18/2021,Active
54,PRD000054,Wireless Speaker 54,22,7,85,30956.17,47429.66,117,30,9.91,Black,24,9/14/2024,Active
