ReturnID,OrderID,ReturnDate,ReturnReason,RefundAmount,RefundStatus
1,47581,1/20/2024,Damaged Product,2062.9,Refunded
2,5774,6/28/2025,Missing Parts,24626.79,Pending
3,23074,5/2/2025,Duplicate Order,6268.18,Refunded
4,27207,12/31/2025,Late Delivery,5615.93,Refunded
5,51643,5/4/2026,Missing Parts,32193.94,Refunded
6,27256,4/25/2026,Duplicate Order,27483.24,Processed
7,79602,2/19/2024,Wrong Item Delivered,32778.92,Refunded
8,42936,3/18/2025,Defective Item,29253.04,Refunded
9,87575,7/23/2023,Defective Item,5453.55,Refunded
10,95628,7/31/2022,Wrong Item Delivered,20441.68,Refunded
11,29792,9/28/2022,Late Delivery,31647.88,Processed
12,2575,4/24/2025,Missing Parts,6935,Refunded
13,36157,3/9/2024,Size Issue,15409.74,Refunded
14,27547,6/17/2022,Wrong Item Delivered,1169.15,Refunded
15,155,12/17/2022,Quality Issue,6016.38,Pending
16,90870,5/6/2026,Defective Item,1037.88,Rejected
17,69037,6/11/2023,Duplicate Order,34304.66,Refunded
18,82152,9/18/2025,Defective Item,28096.22,Refunded
19,62519,2/20/2026,Size Issue,24344.06,Refunded
20,26268,4/1/2025,Defective Item,36166.66,Refunded
21,93291,10/30/2024,Missing Parts,35833.72,Pending
22,97525,2/14/2022,Size Issue,26270.44,Refunded
23,46624,4/24/2026,Size Issue,40026.45,Refunded
24,14713,10/2/2022,Changed Mind,23055.67,Refunded
25,80378,1/11/2023,Defective Item,32430.98,Refunded
26,33250,7/24/2023,Damaged Product,41626.32,Pending
27,51057,5/27/2023,Defective Item,29677.38,Refunded
28,39861,12/26/2025,Defective Item,41516.14,Refunded
29,21133,8/25/2023,Quality Issue,4736.65,Refunded
30,57509,2/8/2025,Wrong Item Delivered,19588.56,Processed
31,41762,8/6/2025,Late Delivery,31088.04,Pending
32,49642,7/11/2022,Duplicate Order,25340.51,Pending
33,46242,12/2/2022,Defective Item,3120.47,Refunded
34,92737,1/7/2025,Defective Item,11449.72,Pending
35,46406,11/16/2023,Changed Mind,13139.9,Refunded
36,94855,1/2/2026,Duplicate Order,10644.57,Refunded
37,49062,4/21/2025,Size Issue,49509.62,Refunded
38,18613,8/21/2022,Damaged Product,31462.07,Refunded
39,15873,9/23/2025,Duplicate Order,3162.66,Refunded
40,44556,4/19/2022,Damaged Product,41497.17,Refunded
41,62246,12/17/2022,Missing Parts,16073.41,Refunded
42,15151,7/11/2022,Changed Mind,37609.02,Refunded
43,96526,10/11/2023,Wrong Item Delivered,3777.3,Refunded
44,26410,4/21/2022,Damaged Product,36359.48,Pending
45,22926,7/28/2024,Missing Parts,47754.07,Refunded
46,94235,3/11/2025,Defective Item,49079.2,Refunded
47,27082,11/19/2022,Quality Issue,43863.42,Refunded
48,31961,12/15/2024,Late Delivery,41304.55,Refunded
49,73358,2/21/2025,Quality Issue,31490.77,Refunded
50,18352,10/23/2022,Quality Issue,3457.93,Refunded
51,59375,3/26/2024,Quality Issue,19857.42,Refunded
52,64228,7/27/2022,Product Not as Described,18991.16,Refunded
53,36180,9/19/2022,Defective Item,40885.89,Refunded
54,12362,4/13/2025,Quality Issue,40742.51,Refunded
55,90627,6/12/2022,Product Not as Described,1655.18,Refunded
56,22603,1/27/2026,Duplicate Order,12923.66,Refunded
57,75677,6/1/2022,Product Not as Described,838.59,Pending
58,52033,8/27/2024,Changed Mind,21622.51,Rejected
59,46044,2/9/2026,Changed Mind,30474.82,Refunded
60,89912,10/7/2022,Late Delivery,15995.35,Refunded
61,28729,11/30/2024,Wrong Item Delivered,2075.59,Refunded
62,1089,7/30/2025,Wrong Item Delivered,46479.88,Refunded
63,21848,4/12/2026,Missing Parts,34848.93,Refunded
64,44110,2/22/2022,Size Issue,9774.02,Refunded
65,9534,11/11/2024,Size Issue,18776.62,Rejected
66,86079,4/25/2023,Damaged Product,17008.08,Refunded
67,67967,11/24/2024,Size Issue,30632.65,Refunded
68,54035,8/11/2024,Wrong Item Delivered,32128.61,Refunded
69,4228,10/16/2025,Changed Mind,37476.46,Refunded
70,62727,1/12/2024,Late Delivery,34534.51,Refunded
71,48877,8/29/2022,Damaged Product,17144.78,Refunded
72,24912,11/19/2022,Wrong Item Delivered,24625.38,Processed
73,71981,5/21/2022,Missing Parts,20772.7,Refunded
74,51123,11/14/2025,Duplicate Order,3529.94,Refunded
75,84312,4/24/2025,Wrong Item Delivered,22089.85,Rejected
76,94129,12/1/2022,Wrong Item Delivered,36727.39,Refunded
77,45725,10/20/2024,Duplicate Order,19437.29,Pending
78,34352,11/1/2024,Wrong Item Delivered,3794.73,Refunded
79,50495,8/2/2023,Size Issue,32840.06,Refunded
80,26216,7/1/2022,Defective Item,19498.81,Refunded
81,38171,7/23/2023,Wrong Item Delivered,43189.4,Refunded
82,54369,5/7/2022,Defective Item,13253.28,Processed
83,4367,2/9/2025,Changed Mind,2976.52,Refunded
84,19410,5/2/2025,Changed Mind,21672.77,Refunded
85,19422,4/18/2024,Defective Item,14860.73,Refunded
86,14302,6/28/2024,Size Issue,28971.43,Refunded
87,85830,10/25/2023,Changed Mind,45293.44,Rejected
88,46769,3/31/2022,Quality Issue,16095.95,Refunded
89,25158,4/19/2026,Wrong Item Delivered,7054.15,Refunded
90,54611,1/9/2026,Missing Parts,39222.33,Refunded
91,4444,8/8/2025,Product Not as Described,40104.74,Refunded
92,31699,9/9/2024,Defective Item,47583.62,Refunded
93,97326,12/18/2022,Duplicate Order,6150.68,Refunded
94,7341,3/8/2025,Product Not as Described,9883.73,Refunded
95,92288,10/21/2023,Defective Item,39358.09,Rejected
96,36296,2/28/2022,Defective Item,34742.15,Rejected
97,35269,11/7/2025,Changed Mind,30149.35,Refunded
98,91546,5/13/2022,Wrong Item Delivered,49446.61,Refunded
99,38785,10/15/2025,Duplicate Order,10701.52,Refunded
100,32038,4/21/2023,Size Issue,26222.51,Refunded
101,59413,2/20/2026,Duplicate Order,6036.39,Pending
102,32207,7/1/2025,Damaged Product,5083.46,Pending
103,45905,12/28/2025,Late Delivery,49140.34,Refunded
104,73980,7/20/2023,Damaged Product,34747.54,Pending
105,14044,4/9/2026,Defective Item,24278.43,Refunded
106,82052,8/19/2024,Missing Parts,10717,Refunded
107,29034,5/10/2023,Changed Mind,26120.32,Refunded
108,22661,9/15/2024,Duplicate Order,5899.34,Refunded
109,20454,4/10/2025,Quality Issue,35292.92,Refunded
110,25946,12/29/2025,Product Not as Described,41324.21,Refunded
111,44105,2/12/2022,Changed Mind,2112.27,Refunded
112,86569,11/11/2024,Quality Issue,45300.83,Refunded
113,35248,5/16/2023,Size Issue,6452.87,Refunded
114,99057,3/17/2022,Quality Issue,35319.7,Pending
115,18569,1/24/2026,Missing Parts,18158.72,Refunded
116,63394,9/4/2025,Late Delivery,31264.67,Refunded
117,76905,1/23/2025,Wrong Item Delivered,14975.22,Refunded
118,20179,10/31/2025,Quality Issue,11001.92,Refunded
119,31216,2/23/2022,Product Not as Described,12253.6,Processed
120,47043,3/20/2023,Size Issue,26107.7,Pending
121,29722,3/22/2023,Changed Mind,43621.84,Refunded
122,64544,12/24/2025,Product Not as Described,22905.42,Refunded
123,25830,11/9/2023,Late Delivery,22595.48,Refunded
124,30864,11/21/2022,Wrong Item Delivered,8414.75,Refunded
125,2203,4/18/2022,Quality Issue,34385.46,Refunded
126,15023,7/28/2022,Missing Parts,47011.17,Refunded
127,1814,12/28/2022,Missing Parts,6475.22,Pending
128,55308,12/25/2025,Changed Mind,33681.44,Refunded
129,82178,1/13/2023,Quality Issue,26656.41,Refunded
130,61483,7/5/2023,Duplicate Order,19640.17,Refunded
131,98627,12/9/2024,Size Issue,19916.02,Refunded
132,91252,10/15/2023,Damaged Product,46219.05,Refunded
133,33928,5/17/2024,Product Not as Described,26994.84,Refunded
134,4423,5/5/2024,Missing Parts,28289.88,Refunded
135,41652,11/28/2025,Quality Issue,49193.58,Pending
136,70608,7/26/2022,Defective Item,30647.87,Refunded
137,57424,12/30/2025,Wrong Item Delivered,13233.79,Pending
138,69068,1/23/2026,Quality Issue,13583.56,Refunded
139,55815,5/30/2024,Damaged Product,11728.26,Pending
140,15949,5/19/2025,Duplicate Order,34480.57,Refunded
141,36079,2/9/2025,Size Issue,6023.49,Pending
142,87227,4/6/2023,Product Not as Described,5410.98,Refunded
143,35391,8/21/2024,Quality Issue,43687.74,Refunded
144,23105,5/1/2025,Late Delivery,3190.29,Refunded
145,97504,1/11/2024,Product Not as Described,45948.05,Pending
146,32224,11/25/2025,Quality Issue,45868.3,Refunded
147,13647,3/19/2023,Defective Item,27895.31,Refunded
148,71342,6/11/2024,Wrong Item Delivered,39393.43,Pending
149,83624,11/24/2022,Duplicate Order,31532.7,Pending
150,48773,2/24/2024,Product Not as Described,31064.49,Refunded
151,16459,4/1/2022,Defective Item,43587.58,Refunded
152,26816,8/4/2022,Quality Issue,16195.55,Refunded
153,70992,4/14/2025,Product Not as Described,22764.48,Refunded
154,62392,11/12/2022,Defective Item,33600.6,Refunded
155,92511,3/3/2022,Duplicate Order,43964.55,Pending
156,29439,4/6/2024,Wrong Item Delivered,44943.93,Refunded
157,50717,9/16/2024,Missing Parts,47073.72,Refunded
158,5372,11/15/2025,Wrong Item Delivered,22469.41,Processed
159,90704,5/11/2024,Damaged Product,21319.18,Pending
160,9205,12/25/2022,Late Delivery,38268.23,Pending
161,66748,1/29/2023,Wrong Item Delivered,13506.29,Refunded
162,37237,3/12/2024,Defective Item,8502.47,Refunded
163,73459,9/1/2024,Defective Item,1521.8,Refunded
164,35815,5/20/2026,Duplicate Order,20123.32,Pending
165,75056,8/15/2025,Defective Item,34801.53,Refunded
166,19538,8/17/2025,Duplicate Order,49345.65,Refunded
167,37932,10/13/2023,Quality Issue,13704.17,Refunded
168,21351,10/6/2023,Quality Issue,10475.82,Pending
169,61910,6/9/2023,Wrong Item Delivered,6647.17,Refunded
170,54966,10/9/2025,Wrong Item Delivered,14814.42,Refunded
171,22057,4/6/2025,Wrong Item Delivered,26098.92,Processed
172,74106,12/11/2023,Changed Mind,12672.87,Refunded
173,46215,6/1/2023,Damaged Product,46451.1,Pending
174,59174,6/6/2024,Duplicate Order,18439.86,Pending
175,14542,9/20/2025,Quality Issue,42278.32,Refunded
176,15652,6/6/2023,Missing Parts,24786.88,Refunded
177,86104,10/8/2025,Damaged Product,29351.51,Refunded
178,30311,10/17/2022,Defective Item,36778.28,Processed
179,29180,11/4/2024,Late Delivery,17109.9,Refunded
180,64107,3/31/2024,Damaged Product,16017.37,Refunded
181,89726,7/12/2023,Product Not as Described,36603.52,Pending
182,90873,1/15/2025,Damaged Product,43883.91,Pending
183,79106,4/24/2023,Missing Parts,35498.37,Refunded
184,88908,4/26/2022,Product Not as Described,11549.34,Refunded
185,55609,11/20/2023,Damaged Product,33755.53,Refunded
186,23934,12/9/2022,Damaged Product,27555.32,Refunded
187,10049,2/5/2024,Quality Issue,48763.14,Refunded
188,86205,2/13/2023,Wrong Item Delivered,15955.03,Refunded
189,90878,7/5/2025,Quality Issue,34233.91,Refunded
190,5597,11/2/2022,Duplicate Order,19456.77,Refunded
191,25526,9/19/2025,Changed Mind,31222.93,Refunded
192,83792,12/1/2025,Defective Item,38243.2,Refunded
193,22778,5/11/2022,Damaged Product,3017.24,Refunded
194,21961,10/30/2023,Defective Item,21342.35,Refunded
195,64427,2/8/2022,Damaged Product,3644.07,Refunded
196,32012,2/6/2023,Size Issue,3145.47,Refunded
197,77138,1/4/2025,Changed Mind,5666.56,Refunded
198,63896,12/4/2024,Quality Issue,7807.98,Refunded
199,54612,5/9/2022,Duplicate Order,35719.84,Refunded
200,10187,11/24/2024,Size Issue,48398.82,Pending
201,28389,12/16/2024,Missing Parts,6835.77,Refunded
202,81169,7/20/2022,Product Not as Described,8692.99,Refunded
203,78385,3/27/2025,Late Delivery,29133.3,Refunded
204,63783,6/16/2024,Product Not as Described,23666.74,Refunded
205,39991,2/12/2022,Damaged Product,30702.76,Refunded
206,982,3/11/2026,Defective Item,23938.01,Processed
207,62394,9/25/2024,Damaged Product,41672.21,Refunded
208,87917,2/12/2025,Product Not as Described,16519.62,Refunded
209,679,5/20/2023,Missing Parts,46225.17,Refunded
210,86729,2/3/2023,Duplicate Order,14073.47,Refunded
211,83948,10/11/2025,Missing Parts,1529.23,Refunded
212,53996,9/13/2022,Late Delivery,44965.36,Refunded
213,39248,11/22/2024,Damaged Product,35189.6,Refunded
214,3728,9/9/2024,Changed Mind,322.52,Refunded
215,76458,3/6/2024,Quality Issue,17987.82,Refunded
216,83940,11/29/2024,Product Not as Described,29042.58,Processed
217,48532,10/28/2022,Duplicate Order,12860,Pending
218,84311,7/24/2024,Missing Parts,7176.92,Refunded
219,46585,6/11/2022,Changed Mind,23597.63,Refunded
220,17181,12/26/2024,Product Not as Described,8079.59,Refunded
221,34172,8/9/2024,Wrong Item Delivered,42977.6,Rejected
222,70221,5/31/2023,Defective Item,40478.33,Refunded
223,13005,3/9/2022,Product Not as Described,2897.77,Refunded
