SupplierID,SupplierName,ContactPerson,Phone,Email,City,State,Country,SupplierRating,IsActive
1,Shree Imports 1,Manager 1,9459587477,supplier1@examplemail.com,Hyderabad,Telangana,Thailand,4.58,1
2,United Solutions 2,Manager 2,9819697499,supplier2@examplemail.com,Chennai,Tamil Nadu,India,3.7,1
3,United Wholesale 3,Manager 3,9734796240,supplier3@examplemail.com,Bengaluru,Karnataka,Taiwan,4.01,1
4,Universal Distributors 4,Manager 4,9919716084,supplier4@examplemail.com,Chennai,Tamil Nadu,India,4.19,1
5,United Traders 5,Manager 5,9281476854,supplier5@examplemail.com,Indore,Madhya Pradesh,India,4.3,1
6,Metro Industries 6,Manager 6,9125129175,supplier6@examplemail.com,Indore,Madhya Pradesh,India,3.54,1
7,United Suppliers 7,Manager 7,9839306477,supplier7@examplemail.com,Lucknow,Uttar Pradesh,USA,4.75,1
8,Om Traders 8,Manager 8,9906454279,supplier8@examplemail.com,Nagpur,Maharashtra,India,4.57,1
9,United Distributors 9,Manager 9,9103265010,supplier9@examplemail.com,Ludhiana,Punjab,India,3.54,1
10,Sai Distributors 10,Manager 10,9173228344,supplier10@examplemail.com,Chennai,Tamil Nadu,Thailand,4.01,1
11,Universal Imports 11,Manager 11,9411966138,supplier11@examplemail.com,Mumbai,Maharashtra,India,3.99,1
12,Elite Solutions 12,Manager 12,9749227716,supplier12@examplemail.com,Kochi,Kerala,India,3.82,1
13,Modern Imports 13,Manager 13,9615082516,supplier13@examplemail.com,Ahmedabad,Gujarat,India,4.87,1
14,Om Wholesale 14,Manager 14,9278826047,supplier14@examplemail.com,Mumbai,Maharashtra,India,3.8,1
15,Universal Industries 15,Manager 15,9140988992,supplier15@examplemail.com,Ahmedabad,Gujarat,India,4.99,1
16,Universal Retail Supply 16,Manager 16,9231071662,supplier16@examplemail.com,Pune,Maharashtra,India,3.85,1
17,Apex Wholesale 17,Manager 17,9004067528,supplier17@examplemail.com,Bengaluru,Karnataka,India,4.8,1
18,Prime Distributors 18,Manager 18,9041935053,supplier18@examplemail.com,Kochi,Kerala,Thailand,3.98,1
19,Royal Imports 19,Manager 19,9857932688,supplier19@examplemail.com,Chennai,Tamil Nadu,India,4.34,1
